# name,mass,mass_error_min,mass_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication_status,detection_type,mass_detection_type,radius_detection_type,alternate_names,molecules,star_name,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_metallicity,star_mass,star_radius,star_sp_type,star_age,star_teff,star_detected_disc,star_magnetic_field
HD 37124 c,0.652,0.052,0.052,,,,885.5,5.1,5.1,1.71,0.0065,0.0065,0.125,0.055,0.055,,,,0.051818,2005,5/20/2013,53,17,17,2449534,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 37124,84.2583333,20.7305556,7.68,,,,,33,-0.442,0.83,0.82,G4 V,3.33,5610,,
HD 37124 d,0.696,0.059,0.059,,,,1862,38,38,2.807,0.038,0.038,0.16,0.14,0.14,,,,0.085061,2003,5/20/2013,360,,,2448558,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 37124,84.2583333,20.7305556,7.68,,,,,33,-0.442,0.83,0.82,G4 V,3.33,5610,,
HD 37605 b,2.813,0.032,0.032,,,,55.01307,0.00063,0.00063,0.2837,0.0016,0.0016,0.6767,0.0019,0.0019,,,,0.006613,2004,10/29/2012,220.86,0.27,0.27,2453378.241,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 37605,85.0041667,6.0605556,8.66,,,,,44,0.34,1,0.9,K0V,7,5448,,
HD 37605 c,3.366,0.072,0.072,,,,2720,57,57,3.814,0.058,0.058,0.013,0.015,0.015,,,,,2012,10/29/2012,221,78,78,2454838,581,581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 37605,85.0041667,6.0605556,8.66,,,,,44,0.34,1,0.9,K0V,7,5448,,
HD 38283 b,0.34,0.02,0.02,,,,363.2,1.6,1.6,1.02,0.07,0.07,0.41,0.16,0.16,,,,0.027056,2011,4/13/2011,,,,2450802.6,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 38283,84.2583333,-73.6994444,6.7,,,,,37.7,-0.24,1.085,,F9.5V,5.4,5945,,
HD 38529 b,0.78,,,,,,14.3104,0.0002,0.0002,0.131,0.0015,0.0015,0.248,0.007,0.007,57,14,14,0.003335,2000,5/11/2011,95.9,1.7,1.7,50020.19,0.08,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 38529,86.6416667,1.1680556,5.94,,,,,39.28,0.27,1.48,2.44,G4 IV,3.28,5697,IR Excess,
HD 38529 c,17.7,1.4,1.7,,,,2134.76,0.4,0.4,3.695,0.043,0.043,0.36,0.003,0.003,48.3,4,4,0.094068,2002,5/26/2014,22.52,0.7,0.7,48002,6.2,6.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 38529,86.6416667,1.1680556,5.94,,,,,39.28,0.27,1.48,2.44,G4 IV,3.28,5697,IR Excess,
HD 38801 b,10.7,0.5,0.5,,,,696.3,2.7,2.7,1.7,0.037,0.037,0,,,,,,0.017103,2010,12/15/2010,,,,2453966,2.1,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 38801,86.9958333,-8.3277778,8.26,,,,,99.4,0.26,1.36,2.53,K0IV,4.67,5222,,
HD 38858 b,0.0961,0.012,0.012,,,,407.15,4.2857,4.2857,1.0376,0.0189,0.0189,0.27,0.17,0.17,,,,0.068263,2011,9/12/2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Submitted to a professional journal,Radial Velocity,,,,,HD 38858,87.1458333,-4.0947222,5.97,,,,,15.2,,,,G4V,,,IR Excess,
HD 39091 b,10.3,,,,,,2049,150,150,3.28,,,0.61,0.03,0.03,,,,0.179039,2001,1/1/2011,330,20,20,50073,150,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 39091,84.2875,-80.4688889,5.67,,,,,18.32,0.09,1.1,2.1,G1 IV,3.83,5888,,
HD 39194 b,0.0117,0.001,0.001,,,,5.6363,0.0008,0.0008,0.0519,0.0008,0.0008,0.2,0.1,0.1,,,,0.002004,2011,9/12/2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Submitted to a professional journal,Radial Velocity,,,,,HD 39194,86.1333333,-70.1436111,8.08,,,,,25.9,,,,K0V,,,,
HD 39194 c,0.0187,0.00148,0.00148,,,,14.025,0.0051,0.0051,0.0954,0.0016,0.0016,0.11,0.006,0.006,,,,0.003683,2011,9/12/2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Submitted to a professional journal,Radial Velocity,,,,,HD 39194,86.1333333,-70.1436111,8.08,,,,,25.9,,,,K0V,,,,
HD 39194 d,0.0162,0.0026,0.0026,,,,33.941,0.0353,0.0353,0.172,0.0029,0.0029,0.2,0.16,0.16,,,,0.006641,2011,9/12/2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Submitted to a professional journal,Radial Velocity,,,,,HD 39194,86.1333333,-70.1436111,8.08,,,,,25.9,,,,K0V,,,,
HD 40307 b,0.012,0.00094,0.00094,,,,4.3115,0.00027,0.00027,0.0475,0.0011,0.0011,0.2,0.16,0.14,,,,0.003672,2008,10/26/2015,194,60,60,,,,,,,,,,,,,,,,,,,54562.77,0.08,0.08,1.79,0.13,0.13,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 40307,88.5166667,-60.0233333,7.17,,5.41,4.97,4.79,12.8,-0.31,0.77,,K2.5V,,4977,IR Excess,
HD 40307 c,6.43,0.044,0.044,,,,9.6207,0.0013,0.0013,0.0812,0.0018,0.0018,0.06,0.06,0.11,,,,0.006328,2008,10/26/2015,234,,,,,,,,,,,,,,,,,,,,,54551.53,0.15,0.15,2.31,0.13,0.13,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 40307,88.5166667,-60.0233333,7.17,,5.41,4.97,4.79,12.8,-0.31,0.77,,K2.5V,,4977,IR Excess,
HD 40307 d,0.0275,0.0018,0.0018,,,,20.4184,0.0052,0.0052,1.134,0.0029,0.0029,0.07,0.07,0.11,,,,0.010469,2008,10/26/2015,17,,,,,,,,,,,,,,,,,,,,,54532.42,0.2,0.2,2.44,0.13,0.13,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 40307,88.5166667,-60.0233333,7.17,,5.41,4.97,4.79,12.8,-0.31,0.77,,K2.5V,,4977,IR Excess,
HD 40307 e,0.011,0.0044,0.0044,,,,34.62,0.21,0.21,0.1886,0.0104,0.0083,0.15,0.15,0.13,,,,,2012,5/21/2014,302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 40307,88.5166667,-60.0233333,7.17,,5.41,4.97,4.79,12.8,-0.31,0.77,,K2.5V,,4977,IR Excess,
HD 40307 f,0.0114,0.0019,0.0019,,,,51.56,0.14,0.14,0.2485,0.0054,0.0054,0.02,0.02,0.2,,,,,2012,10/26/2015,354,,,,,,,,,,,,,,,,,,,,,,,,0.75,0.13,0.13,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 40307,88.5166667,-60.0233333,7.17,,5.41,4.97,4.79,12.8,-0.31,0.77,,K2.5V,,4977,IR Excess,
HD 40307 g,0.0223,0.0082,0.0082,,,,197.8,5.7,9,0.6,0.034,0.034,0.29,0.29,0.31,,,,,2012,5/21/2014,91.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 40307,88.5166667,-60.0233333,7.17,,5.41,4.97,4.79,12.8,-0.31,0.77,,K2.5V,,4977,IR Excess,
HD 40979 b,3.28,3,3,,,,263.1,3,3,0.83,,,0.25,0.05,0.05,,,,0.024925,2002,12/20/2010,310.7,8,8,2330.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 40979,91.1208333,44.2602778,6.74,,,,,33.3,0.194,1.1,1.21,F8 V,1.48,6205,IR Excess,
HD 41004 A b,2.54,0.74,0.74,,,,963,38,38,1.64,,,0.39,0.17,0.17,,,,0.038588,2004,11/21/2012,97,31,31,2452425,0.74,0.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 41004 A,89.9541667,-48.2394444,8.65,,,,,42.5,-0.09,0.7,,K1 V,1.64,5035,,
HD 41004 B b,18.4,0.22,0.22,1.06,,,1.32363,8.90E-05,8.90E-05,0.0177,,,0.058,0.0511,0.058,,,,0.000411,2004,2/16/2015,149,72.2,72.2,2452532.699,0.0029,0.0029,,,,,,,,,,,,,,,,,,,4599.21,338,338,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,Theoretical,,,HD 41004 B,89.9583333,-48.2397222,12.33,,,,,43.03,-0.01,0.4,,M2,1.56,5035,,
HD 4113 b,1.56,0.04,0.04,,,,526.62,0.3,0.3,1.28,,,0.903,0.005,0.005,,,,0.029091,2007,12/17/2010,317.7,1.9,1.9,3778,0.2,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 4113,10.8041667,-37.9825,7.88,,,,,44,0.2,0.99,,G5V,4.8,5688,,
HD 4203 b,1.82,0.05,0.05,,,,437.05,0.27,0.27,1.164,0.067,0.067,0.52,0.02,0.02,,,,0.015019,2001,1/11/2014,328.03,2.9,2.9,2451911.52,2.38,2.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 4203,11.1708333,20.4488889,8.68,,,,,77.5,0.453,1.13,1.33,G5,9.41,5701,,
HD 4203 c,2.17,0.52,0.52,,,,6700,4500,4500,,,,0.24,0.13,0.13,,,,,2014,1/11/2014,224,49,49,2456000,9600,9600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 4203,11.1708333,20.4488889,8.68,,,,,77.5,0.453,1.13,1.33,G5,9.41,5701,,
HD 4208 b,0.8,,,,,,829,36,36,1.7,,,0.04,0.12,0.12,,,,0.050147,2001,10/8/2009,301,,,1774,197,197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 4208,11.1083333,-26.5155556,7.79,,,,,33.9,-0.284,0.87,0.85,G5 V,4.47,5571,,
HD 4308 b,0.0405,0.005,0.005,,,,15.609,0.007,0.007,0.118,0.009,0.009,0.27,0.12,0.12,,,,0.005388,2005,6/30/2009,210,21,21,108.5,1.9,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Submitted to a professional journal,Radial Velocity,,,,,HD 4308,11.1625,-65.6494444,6.54,,,,,21.9,-0.34,0.85,0.92,G5 V,7.1,5597,,
HD 4313 b,2.3,0.2,0.2,,,,356,2.6,2.6,1.19,0.03,0.03,0.041,0.037,0.037,,,,0.008686,2010,3/19/2010,76,80,80,2454804,80,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Submitted to a professional journal,Radial Velocity,,,,,HD 4313,11.4166667,7.845,7.83,,,,,137,0.14,1.72,4.9,G5 D,2,5035,,
HD 43197 b,0.6,0.04,0.12,,,,327.8,1.2,1.2,0.92,0.02,0.02,0.83,0.01,0.01,,,,0.016758,2009,9/8/2010,251,12,12,4713.8,1.7,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Submitted to a professional journal,Radial Velocity,,,,,HD 43197,93.4,-29.8972222,8.95,,,,,54.9,0.4,0.96,1,G8V,,5508,,
HD 43691 b,2.49,,,,,,36.96,0.02,0.02,0.24,,,0.14,0.02,0.02,,,,0.002575,2007,11/27/2007,290,5,5,54046.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 43691,94.8958333,41.0922222,8.03,,,,,93.2,0.28,1.38,,G0IV,2.8,6200,,
HD 44219 b,0.58,0.04,0.06,,,,472.3,5,5,1.19,0.02,0.02,0.61,0.09,0.09,,,,0.023597,2009,9/8/2010,147.4,3.2,3.2,4585.6,3.1,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Submitted to a professional journal,Radial Velocity,,,,,HD 44219,95.0583333,-10.725,7.69,,,,,50.43,0.03,1,1.32,G2V,,5752,,
HD 45184 b,0.04,,,,,,5.8872,,,0.0638,,,0.3,,,,,,0.002913,2011,9/12/2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Submitted to a professional journal,Radial Velocity,,,,,HD 45184,96.1833333,-28.78,6.37,,,,,21.9,,,,G1.5V,,,IR Excess,
HD 45350 b,1.79,0.14,0.14,,,,890.76,37.42,37.42,1.92,0.067,0.067,0.778,0.009,0.009,,,,0.039184,2004,12/22/2010,343.4,2.3,2.3,2451825.3,7.1,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 45350,97.1875,38.9627778,7.88,,,,,49,0.29,1.02,1.27,G5 IV,5.59,5754,,
HD 45364 b,0.1872,,,,,,226.93,0.37,0.37,0.6813,,,0.1684,0.019,0.019,,,,0.020899,2009,1/31/2012,162.58,6.34,6.34,53500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Submitted to a professional journal,Radial Velocity,,,,,HD 45364,96.4083333,-31.4808333,8.08,,,,,32.6,-0.17,0.82,,K0V,,5434,,
HD 45364 c,0.6579,,,,,,342.85,0.28,0.28,0.8972,,,0.0974,0.012,0.012,,,,0.027521,2009,1/31/2012,7.41,4.3,4.3,53500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Submitted to a professional journal,Radial Velocity,,,,,HD 45364,96.4083333,-31.4808333,8.08,,,,,32.6,-0.17,0.82,,K0V,,5434,,
HD 45652 b,0.47,,,,,,43.6,0.2,0.2,0.23,,,0.38,0.06,0.06,,,,0.006389,2008,10/14/2008,273,12,12,2454120.3,1.2,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 45652,97.3041667,10.9338889,8.1,,,,,36,0.29,0.83,,G8-K0,,5312,,
HD 46375 b,0.23,,,1.02,,,3.02358,6.45E-05,6.45E-05,0.041,,,0.0524,0.032,0.0229,,,,0.001228,2000,2/24/2015,113.7,34.3,34.3,2451920.7,,,,,,,,,,,,,,,,,,,,,33.67,0.81,0.81,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,Theoretical,,,HD 46375,98.3,5.4627778,7.94,,,,,33.4,0.24,0.91,1,K1 IV,4.96,5199,IR Excess,
HD 47186 b,0.07167,,,,,,4.0845,0.0002,0.0002,0.05,,,0.038,0.02,0.02,,,,0.001321,2008,5/20/2013,59,32,32,54566.95,0.36,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a professional conference,Radial Velocity,,,,,HD 47186,99.0375,-27.6222222,7.8,,6.42,6.1,6.01,37.84,0.23,0.99,,G5V,,5675,,
HD 47186 c,0.35061,,,,,,1353.6,57.1,57.1,2.395,,,0.249,0.073,0.073,,,,0.063293,2008,5/20/2013,26,23,23,52010,180,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a professional conference,Radial Velocity,,,,,HD 47186,99.0375,-27.6222222,7.8,,6.42,6.1,6.01,37.84,0.23,0.99,,G5V,,5675,,
HD 47536 b,5,,,,,,430,,,1.61,,,0.2,0.08,0.08,,,,0.013266,2003,8/10/2012,260.8,23.7,23.7,2451599.36,21.5,21.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 47536,99.4458333,-32.3397222,5.25,,,,,121.36,-0.68,0.94,23.47,K1 III,9.33,4380,,
HD 47536 c,7,,,,,,2500,,,,,,,,,,,,,2007,8/10/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a professional conference,Radial Velocity,,,,,HD 47536,99.4458333,-32.3397222,5.25,,,,,121.36,-0.68,0.94,23.47,K1 III,9.33,4380,,
HD 48265 b,1.16,0.38,0.38,,,,700,8,8,1.51,,,0.18,0.13,0.13,,,,0.017277,2008,5/20/2009,309,27,27,4486,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 48265,100.0083333,-48.5419444,8.07,,,,,87.4,0.17,0.93,,G5V,,,,
HD 49674 b,0.1,,,0.98,,,4.94739,0.000974925,0.000974925,0.058,0.0033,0.0033,0.0495,0.0691,0.0495,,,,0.001425,2002,2/27/2015,263.9,79.3,79.3,2452308.9,,,,,,,,,,,,,,,,,,,,,11.78,1.18,1.18,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,Theoretical,,,HD 49674,102.875,40.8675,8.1,,,,,40.7,0.25,1.07,0.94,G5 V,2.38,5482,,
HD 50499 b,1.71,0.2,0.2,,,,2482.7,110,110,3.86,0.6,0.6,0.23,0.14,0.14,,,,0.081676,2005,12/29/2010,262,36,36,61234.6,225,225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 50499,103.0083333,-33.9155556,7.22,,,,,47.26,0.23,1.27,1.38,G IV,6,5902,IR Excess,
HD 50554 b,5.16,,,,,,1293,37,37,2.41,,,0.5,0.03,0.03,,,,0.077667,2002,12/30/2010,355.7,4.4,4.4,2451832.4,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 50554,103.675,24.2455556,6.86,,,,,31.03,-0.07,1.04,1.11,F8,4.58,5902,IR Excess,
HD 51608 b,0.0413,0.0031,0.0031,,,,14.07,0.0037,0.0037,0.1059,0.0017,0.0017,0.15,0.06,0.06,,,,0.003043,2011,9/12/2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Submitted to a professional journal,Radial Velocity,,,,,HD 51608,103.7125,-55.2594444,8.17,,,,,34.8,,,,K0IV,,,,
HD 51608 c,0.0565,0.0152,0.0152,,,,95.415,0.3908,0.3908,0.3791,0.0064,0.0064,0.41,0.18,0.18,,,,0.010894,2011,9/12/2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Submitted to a professional journal,Radial Velocity,,,,,HD 51608,103.7125,-55.2594444,8.17,,,,,34.8,,,,K0IV,,,,
HD 52265 b,1.05,0.03,0.03,,,,119.6,0.4,0.4,0.5,,,0.35,0.03,0.03,,,,0.017857,2000,7/4/2013,211,6,6,51422.3,1.7,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 52265,105.075,-5.3669444,6.3,,,,,28,0.21,1.2,1.25,G0 V,4.88,6159,IR Excess,
HD 52265 c,0.35,0.09,0.09,,,,59.9,0.2,0.2,0.316,0.003,0.003,0.05,0.1,0.1,,,,,2013,7/4/2013,358,35,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 52265,105.075,-5.3669444,6.3,,,,,28,0.21,1.2,1.25,G0 V,4.88,6159,IR Excess,
HD 5319 b,1.94,,,,,,675,17,17,1.75,,,0.12,0.08,0.08,,,,0.0175,2007,10/31/2007,76,35,35,13068,77,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a professional conference,Radial Velocity,,,,,HD 5319,13.7541667,0.7894444,8.05,,,,,100,0.15,1.56,3.26,G5IV,2.4,5052,,
HD 5608 b,1.4,,,,,,792.6,7.7,7.7,1.9,,,,,,,,,,2012,1/17/2013,,,,2452327,61,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 5608,14.5583,33.9508,6,,,,,58.2,0.06,1.55,5.5,K0IV,,4854,,
HD 564 b,0.33,0.03,0.03,,,,492.3,2.3,2.3,1.2,0.02,0.02,0.096,0.067,0.067,,,,,2014,1/8/2015,314,31,31,2455433,9,9,,,,,,,,,,,,,,,,,,,8.79,0.45,0.45,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 564,2.470833351,-50.26777778,8.29,,,,,54,0.13,0.92,1.01,G3V,5.5,5902,,
HD 5891 b,7.6,0.4,0.4,,,,177.11,0.31,0.31,0.76,0.02,0.02,0.066,0.02,0.02,,,,0.003028,2011,9/2/2011,360,30,30,2455432,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 5891,15.1375,20.2925,8.25,,,,,251,-0.02,1.91,8.7,G5D,1.5,4907,,
HD 59686 b,5.25,,,,,,303,,,0.911,,,,,,,,,0.009902,2003,8/10/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Submitted to a professional journal,Radial Velocity,,,,,HD 59686,112.95,17.0858333,5.45,,,,,92,,,11.62,K2 III,,,,
HD 60532 b,3.15,,,,,,201.83,0.14,0.14,0.77,,,0.278,0.006,0.006,20,0,0,0.029961,2008,1/31/2012,352.83,1.05,1.05,54000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 60532,113.5125,-22.2961111,4.45,,,,,25.7,-0.26,1.44,,F6IV-V,2.7,6095,,
HD 60532 c,7.46,,,,,,607.06,2.1,2.1,1.58,,,0.038,0.008,0.008,20,0,0,0.061479,2008,1/31/2012,119.49,9.14,9.14,54000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 60532,113.5125,-22.2961111,4.45,,,,,25.7,-0.26,1.44,,F6IV-V,2.7,6095,,
HD 62509 b,2.9,0.1,0.1,,,,589.64,0.81,0.81,1.69,0.03,0.03,0.02,0.03,0.03,,,,0.163443,2006,8/21/2015,354.58,95.65,95.65,2447739.02,4.5,4.5,,,,,,,,,,,,,,,,,,,46,1.6,1.6,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 62509,116.325,28.0261111,1.15,,,,,10.34,0.19,1.47,9.3, K0IIIb,,4666,,
HD 63454 b,0.39,,,1.06,,,2.81747,0.000382247,0.000382247,0.036,,,0.0177,0.0203,0.0177,,,,0.001006,2005,2/20/2015,137.1,76.2,76.2,2453238.057,,,,,,,,,,,,,,,,,,,,,63.19,1.82,1.82,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,Theoretical,,,HD 63454,114.8375,-78.2788889,9.37,,,,,35.8,0.11,0.8,,K4 V,1,4841,,
HD 63765 b,0.64,0.05,0.05,,,,358,1,1,0.949,0.016,0.016,0.24,0.043,0.043,,,,0.02911,2009,7/5/2011,122,13,13,2454404,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 63765,116.9583333,-54.2641667,8.1,,,,,32.6,-0.16,0.865,,G9V,4.77,5432,,
HD 6434 b,0.39,,,,,,21.998,0.0009,0.0009,0.14,,,0.17,0.03,0.03,,,,0.003472,2000,12/30/2010,156,11,11,51490.8,0.6,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 6434,16.1666667,-39.4880556,7.72,,,,,40.32,-0.52,0.79,0.57,G3 IV,3.8,5835,,
HD 65216 b,1.26,0.04,0.04,,,,572.4,0.21,0.21,1.3,0.03,0.03,0.41,0.06,0.06,,,,0.039942,2003,1/26/2014,198,6,6,50762,25,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 65216,118.4208333,-63.6472222,7.98,,,,,34.3,-0.12,0.92,,G5 V,,5666,,
HD 65216 c,0.17,0.03,0.03,,,,152.6,0.6,0.6,0.54,0.01,0.01,0.02,0.1,0.1,,,,,2011,1/26/2014,360,54,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Submitted to a professional journal,Radial Velocity,,,,,HD 65216,118.4208333,-63.6472222,7.98,,,,,34.3,-0.12,0.92,,G5 V,,5666,,
HD 66141 b,6,0.3,0.3,,,,480.5,0.5,0.5,1.2,0.1,0.1,0.07,0.03,0.03,,,,,2012,11/12/2012,22.1,3.5,3.5,2451320.8,4.8,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 66141,120.5667,2.3344,4.39,,,,,80.9,-0.32,1.1,21.4,K2III,6.84,4305,,
HD 66428 b,2.82,0.027,0.027,,,,1973,31,31,3.18,0.19,0.19,0.465,0.03,0.03,,,,0.057818,2006,7/15/2006,152.9,3.9,3.9,,,,,,,,,,,,,,,,,,,12139,16,16,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 66428,120.8666667,-1.1625,8.25,,,,,55,0.31,1.14552,,G5,5.56,5752,,
HD 67087 b,3.06,0.2,0.22,,,,352.2,1.7,1.7,1.08,0.04,0.04,0.17,0.07,0.07,,,,,2015,7/27/2015,284,17,21,2450154.8,29.1,26.3,,,,,,,,,,,,,,,,,,,73.6,3.9,4.4,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 67087,121.9166667,31.5513889,8.05,,,,,88.8,0.25,1.36,1.55,F8 V,1.45,6330,,
HD 67087 c,4.85,3.61,10,,,,2374,156,193,3.86,0.37,0.43,0.76,0.24,0.17,,,,,2015,7/27/2015,255,26,28,2450322.5,407,371,,,,,,,,,,,,,,,,,,,93.3,40.8,151.4,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 67087,121.9166667,31.5513889,8.05,,,,,88.8,0.25,1.36,1.55,F8 V,1.45,6330,,
HD 6718 b,1.56,0.1,0.11,,,,2496,176,176,3.56,0.15,0.15,0.1,0.04,0.04,,,,0.063685,2009,9/8/2010,286,35,35,4357,251,251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Submitted to a professional journal,Radial Velocity,,,,,HD 6718,16.9541667,-8.2336111,8.45,,,,,55.9,-0.06,0.96,1.02,G5V,,5745,,
HD 68988 b,1.9,,,,,,6.276,0.002,0.002,0.071,,,0.14,0.003,0.003,,,,0.001224,2001,12/30/2010,186,8,8,1913,0.2,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 68988,124.5916667,61.4605556,8.21,,,,,58,0.24,1.2,1.14,G0,6.78,5767,,
