# name,mass,mass_error_min,mass_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication_status,detection_type,mass_detection_type,radius_detection_type,alternate_names,molecules,star_name,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_metallicity,star_mass,star_radius,star_sp_type,star_age,star_teff,star_detected_disc,star_magnetic_field
Kepler-225 b,,,,0.107,0.006,0.006,6.738975,4.10E-05,4.10E-05,0.056,,,,,,,,,,2014,3/6/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-225,292.1939697,47.457096,,,14.032,13.341,13.253,,-0.185,,0.48,,,3682,,
Kepler-225 c,,,,0.164,0.009,0.009,18.794234,7.60E-05,7.60E-05,0.111,,,,,,,,,,2014,3/6/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-225,292.1939697,47.457096,,,14.032,13.341,13.253,,-0.185,,0.48,,,3682,,
Kepler-226 b,,,,0.138,0.055,0.055,3.940997,2.00E-05,2.00E-05,0.047,,,,,,,,,,2014,3/6/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-226,292.3761291,47.880989,,,14.114,13.724,13.633,,-0.145,0.86,0.8,,,5571,,
Kepler-226 c,,,,0.203,0.08,0.08,5.349555,1.40E-05,1.40E-05,0.058,,,,,,,,,,2014,3/6/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-226,292.3761291,47.880989,,,14.114,13.724,13.633,,-0.145,0.86,0.8,,,5571,,
Kepler-226 d,,,,0.109,0.044,0.044,8.109044,9.40E-05,9.40E-05,0.076,,,,,,,,,,2014,3/6/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-226,292.3761291,47.880989,,,14.114,13.724,13.633,,-0.145,0.86,0.8,,,5571,,
Kepler-227 b,,,,0.277,0.14,0.14,9.488015,3.90E-05,3.90E-05,0.09,,,,,,,,,,2014,5/9/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-227,291.9342347,48.141651,,,14.082,13.751,13.648,,0.136,,1.09,,,5854,,
Kepler-227 c,,,,0.271,0.136,0.136,54.418694,0.00046,0.00046,0.29,,,,,,,,,,2014,5/9/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-227,291.9342347,48.141651,,,14.082,13.751,13.648,,0.136,,1.09,,,5854,,
Kepler-228 b,,,,0.136,0.063,0.063,2.566546,2.60E-05,2.60E-05,0.038,,,,,,,,,,2014,3/6/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-228,296.2861328,48.224667,,,14.528,14.113,14.132,,-0.067,,1.01,,,6043,,
Kepler-228 c,,,,0.241,0.111,0.111,4.134444,1.80E-05,1.80E-05,0.052,,,,,,,,,,2014,3/6/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-228,296.2861328,48.224667,,,14.528,14.113,14.132,,-0.067,,1.01,,,6043,,
Kepler-228 d,,,,0.36,0.165,0.165,11.094286,3.60E-05,3.60E-05,0.101,,,,,,,,,,2014,3/6/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-228,296.2861328,48.224667,,,14.528,14.113,14.132,,-0.067,,1.01,,,6043,,
