# name, mass, mass_error_min, mass_error_max, radius, radius_error_min, radius_error_max, orbital_period, orbital_period_err_min, orbital_period_err_max, semi_major_axis, semi_major_axis_error_min, semi_major_axis_error_max, eccentricity, eccentricity_error_min, eccentricity_error_max, angular_distance, inclination, inclination_error_min, inclination_error_max, tzero_tr, tzero_tr_error_min, tzero_tr_error_max, tzero_tr_sec, tzero_tr_sec_error_min, tzero_tr_sec_error_max, lambda_angle, lambda_angle_error_min, lambda_angle_error_max, tzero_vr, tzero_vr_error_min, tzero_vr_error_max, temp_calculated, temp_measured, hot_point_lon, log_g, publication_status, discovered, updated, omega, omega_error_min, omega_error_max, tperi, tperi_error_min, tperi_error_max, detection_type, molecules, star_name, ra, dec, mag_v, mag_i, mag_j, mag_h, mag_k, star_distance, star_metallicity, star_mass, star_radius, star_sp_type, star_age, star_teff
Kepler-328 b,0.069,0.198,0.019,0.206,0.076,0.076,34.921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2013,12/20/2013,,,,,,,detected by transit,,Kepler-328,288.3125,46.7714,,,,,,,-0.186,0.98,0.97,,,5314
Kepler-328 c,0.1,0.28,0.03,0.483,0.179,0.179,71.312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2013,12/20/2013,,,,,,,detected by transit,,Kepler-328,288.3125,46.7714,,,,,,,-0.186,0.98,0.97,,,5314
Kepler-33 b,,,,0.16,0.02,0.02,5.66793,0.00012,0.00012,0.0677,0.0014,0.0014,,,,,86.39,1.17,1.17,2454964.898,0.0075,0.0075,,,,,,,,,,,,,,1,2012,12/6/2012,,,,,,,detected by transit,,Kepler-33,289.0791667,46.0052778,14,,,,,,,1.291,1.82,,4.27,5904
Kepler-33 c,,,,0.29,0.027,0.027,13.17562,0.00014,0.00014,0.1189,0.0025,0.0025,,,,,88.19,0.72,0.72,2454976.676,0.0042,0.0042,,,,,,,,,,,,,,1,2012,12/6/2012,,,,,,,detected by transit,,Kepler-33,289.0791667,46.0052778,14,,,,,,,1.291,1.82,,4.27,5904
Kepler-33 d,,,,0.48,0.04,0.04,21.77596,0.00011,0.00011,0.1662,0.0035,0.0035,,,,,88.71,0.51,0.51,2454968.872,0.0048,0.0048,,,,,,,,,,,,,,1,2012,12/6/2012,,,,,,,detected by transit,,Kepler-33,289.0791667,46.0052778,14,,,,,,,1.291,1.82,,4.27,5904
Kepler-33 e,,,,0.36,0.034,0.034,31.7844,0.00039,0.00039,0.2138,0.0045,0.0045,,,,,88.94,0.37,0.37,2454968.872,0.0048,0.0048,,,,,,,,,,,,,,1,2012,12/6/2012,,,,,,,detected by transit,,Kepler-33,289.0791667,46.0052778,14,,,,,,,1.291,1.82,,4.27,5904
Kepler-33 f,,,,0.4,0.037,0.037,41.02902,0.00042,0.00042,0.2535,0.0054,0.0054,,,,,,,,2455005.576,0.004,0.004,,,,,,,,,,,,,,1,2012,12/6/2012,,,,,,,detected by transit,,Kepler-33,289.0791667,46.0052778,14,,,,,,,1.291,1.82,,4.27,5904
Kepler-34(AB)  b,0.219928893,0.010980713,0.009973885,0.763673412,0.013382128,0.013382128,288.822,0.081,0.081,1.0896,0.0009,0.0009,0.182,0.02,0.02,0.000727,90.355,0.018,0.018,2454969.2,,,,,,,,,,,,,,,,1,2012,11/15/2013,,,,,,,detected by transit,,Kepler-34(AB),296.4375,44.6416667,15,,,,,1499,-0.07,2.0687,1.1,G,,5913
Kepler-35(AB) b,0.126797344,0.019979234,0.019979234,0.727987738,0.013382128,0.013382128,131.458,0.105,0.105,0.60347,0.00103,0.00103,0.042,0.004,0.004,0.000367,90.76,0.09,0.09,2454965.85,,,,,,,,,,,,,,,,1,2012,11/5/2013,,,,,,,detected by transit,,Kepler-35(AB),294.4958333,46.69,16,,,,,1645,-0.34,1.6971,1,G,,5606
Kepler-350 c,0.0176,0.054,0.004,0.277,0.125,0.125,17.849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2013,12/29/2013,,,,,,,detected by transit,,Kepler-350,285.4208,39.7061,13.8,,,,,,-0.308,1.03,1.33,,,6215
Kepler-350 d,0.048,0.128,0.014,0.25,0.092,0.092,26.136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2013,12/29/2013,,,,,,,detected by transit,,Kepler-350,285.4208,39.7061,13.8,,,,,,-0.308,1.03,1.33,,,6215
Kepler-36 b,0.014032659,0.000943901,0.000943901,0.132036992,0.002676426,0.002676426,13.83989,0.006,0.0082,0.1153,0.0015,0.0015,,,,,,,,2454960.975,0.0058,0.0058,,,,,,,,,,,,,,1,2012,11/5/2013,,,,,,,detected by transit,,Kepler-36,291.25,49.2319444,12,,,,,,,1.113,1.66,,6.923,5900
Kepler-36 c,0.0254,0.0019,0.0014,0.329,0.048,0.048,16.23855,0.00038,0.00054,0.1283,0.0016,0.0016,,,,,,,,2454955.913,0.0011,0.0011,,,,,,,,,,,,,,1,2012,5/3/2013,,,,,,,detected by transit,,Kepler-36,291.25,49.2319444,12,,,,,,,1.113,1.66,,6.923,5900
